Equipo,Cantidad,--- LADO DC (hacia el dispositivo, valores por unidad) ---,V_DC,P_DC (W),I_DC (A),--- LADO AC (desde la red, transformador original, valores por unidad) ---,V_AC,I_AC estimada (A),P_AC estimada (W),Origen,Observaciones
Intel RealSense D435i,4,,5 V,7 W,1.40 A,,N/A,N/A,N/A,🧮 Estimado (No aplica AC: ya incluido en MSI),"1 por unidad (2 Pika Sense + 2 Pika Gripper = 4 unidades reales). Bus-powered por USB, conectado directo al host (MSI) — única excepción que NO pasa por el Hub USB (el resto de periféricos sí)."
Pika Sense/Gripper — periféricos USB (fisheye + IMU/encoder),4,,5 V,~2–3 W típico / ~3.5 W pico,~0.4–0.6 A típico / ~0.7 A pico,,N/A,N/A,N/A,🧮 Estimado (No aplica AC: ya incluido en Hub USB),"1 por unidad (2 Pika Sense + 2 Pika Gripper = 4 unidades reales). Fisheye ~1.5–2.5W típ/3W pico + IMU/encoder <0.5W, tomado de Consumo_Energia.md. NO incluye la cámara de profundidad: se asume que es la misma 'Intel RealSense D435i' de la fila de arriba (1 por unidad, mismo qty4)."
Pika Gripper — motor de la pinza,2,,24 V,~2–7 W típico / 24 W pico,~0.08–0.29 A típico / 1.00 A pico,,N/A,N/A,N/A,✅ Oficial (conector/límite firmware) + 🧮 Estimado (consumo real) — No aplica AC: ya incluido en PiPER Robotic Arm,"1 por unidad, 2 Pika Gripper (el Sense no tiene motor). Alimentado desde el bus de 24V del propio brazo Piper vía XT30(PB), no tiene línea propia — no sumar aparte del brazo. Pico = límite de firmware 1000mA@24V."
Tracker de posicionamiento,2,,5 V,1 W,0.20 A,,N/A,N/A,N/A,🧮 Estimado (No aplica AC: ya incluido en Hub USB),"Recarga por USB propio, conectado a través del Hub USB (no directo al MSI, no es un realsense). Cantidad=2 asume que solo los 2 Pika Sense llevan tracker (así lo describe Consumo_Energia.md: 'tracker, en Pika Sense'), no los Gripper — confirmar si los 2 Pika Gripper también llevan uno (en ese caso serían 4)."
Adaptador USB-CAN (gs_usb),2,,5 V,5 W,1.00 A,,N/A,N/A,N/A,🧮 Estimado (No aplica AC: ya incluido en Hub USB),"5W/unidad asumido (uno por can_left/can_right, ver can_config.sh) como techo tipo 'peor caso'; Consumo_Energia.md estima ~1–2.5W para este mismo adaptador. Conectado a través del Hub USB."
PiPER Robotic Arm,2,,24 V,≤120 W pico / ≤40 W integral,≤5.00 A pico / ~1.67 A integral,,"100-240 V (asumido, mismo rango universal que los otros)",3.00 A,hasta ~300 W (peor caso a 100V),"✅ Oficial (etiqueta del transformador, corriente) / 🧮 Estimado (voltaje asumido)","Etiqueta real: 3.0A, 50/60Hz; falta confirmar el rango de voltaje AC exacto (asumido 100-240V universal). Potencia DC oficial del manual AgileX; harto margen respecto al máximo del transformador."
Pika Station,2,,12 V,6 W,0.50 A,,100-240 V,0.75 A,hasta ~75 W (peor caso a 100V),✅ Oficial (etiqueta del transformador),"Etiqueta real: 100-240V 750mA 50-60Hz; es la potencia MÁXIMA del transformador, el consumo real típico sigue siendo ~3W (mucho margen de sobra)."
MSI MS17E3 (laptop),1,,20 V,280 W,14.00 A,,100-240 V,3.20 A,~320 W,✅ Oficial (etiqueta del cargador),Corriente AC de etiqueta (peor caso a 100V); a 220V la corriente real medida sería menor.
Hub USB (5V/3A dedicado),2,,5 V,15 W,3.00 A,,100-240 V (asumido),~0.18 A,~17.6 W,"🧮 Estimado (spec del hub 5V/3A, sin medición real)","Upgrade sobre el hub genérico 5V/2A anterior. Carga estimada por hub (excluye las D435i, que van directo al MSI), repartiendo 4 unidades Sense/Gripper entre 2 hubs: fisheye+IMU/encoder (4×~2-3.5W ≈ 8-14W total) + Tracker (2×1W=2W) + USB-CAN (2×5W=10W) ≈ ~20-26W total / ~10-13W por hub → con 15W/hub el margen es más ajustado que antes (ya no holgado), sobre todo en pico. Si los Gripper también llevan tracker (ver fila Tracker) el margen se reduce más. I_AC calculada al peor caso 100V (mismo criterio que Piper/Station). Eficiencia AC-DC 85% estimada."
Motor hidráulico Hydronit MA6C1ST08 (reubicación base brazos robóticos),1,,12 V,~1428 W (calculado de V×I),119.00 A,,N/A,N/A,N/A,🧮 Estimado (No aplica AC: alimentado por batería/bus de 12V, no transformador AC — confirmar),"Reubica la base de los brazos robóticos. Fabricante cataloga '0.8kW' como potencia nominal/salida, pero la corriente de placa (119A@12V) implica un consumo eléctrico de entrada mayor (~1.4kW) — normal en motores de bomba hidráulica que trabajan contra presión, no en vacío. Familia Hydronit especifica ciclo de trabajo intermitente (S2 ~4min), no operación continua. Con diferencia el mayor consumidor de toda la tabla — confirmar si es 1 motor compartido para ambas bases o 1 por brazo, y si la alimentación es batería 12V dedicada o fuente AC-DC."
